id,rename_photo_to,category,group,title,current_image
"cat_e_extention-wire_2","cat_e_extention-wire_2.jpg","Electrical Materials and Fittings","Extention Wire","JKJRoyal - Big","/images/catalog/web/extention-wire.jpg"
"cat_e_extention-wire_3","cat_e_extention-wire_3.jpg","Electrical Materials and Fittings","Extention Wire","JKJRoyal - Small","/images/catalog/web/extention-wire.jpg"
"cat_e_extention-wire_4","cat_e_extention-wire_4.jpg","Electrical Materials and Fittings","Extention Wire","Kincastra","/images/catalog/web/extention-wire.jpg"
"cat_e_extention-wire_5","cat_e_extention-wire_5.jpg","Electrical Materials and Fittings","Extention Wire","KingAstra","/images/catalog/web/extention-wire.jpg"
"cat_e_extention-wire_6","cat_e_extention-wire_6.jpg","Electrical Materials and Fittings","Extention Wire","Power Socket","/images/catalog/web/extention-wire.jpg"
"cat_e_extention-wire_7","cat_e_extention-wire_7.jpg","Electrical Materials and Fittings","Extention Wire","Round - 002USB","/images/catalog/web/extention-wire.jpg"
"cat_e_extention-wire_8","cat_e_extention-wire_8.jpg","Electrical Materials and Fittings","Extention Wire","Standard","/images/catalog/web/extention-wire.jpg"
"cat_e_extention-wire_9","cat_e_extention-wire_9.jpg","Electrical Materials and Fittings","Extention Wire","USB Socket - JK204","/images/catalog/web/extention-wire.jpg"
"cat_e_extention-wire_10","cat_e_extention-wire_10.jpg","Electrical Materials and Fittings","Extention Wire","VBT - HY-2332U","/images/catalog/web/extention-wire.jpg"
"cat_e_fan_1","cat_e_fan_1.jpg","Electrical Materials and Fittings","Fan","Foldable Small - DP-7608","/images/catalog/web/fan.jpg"
"cat_e_fan_2","cat_e_fan_2.jpg","Electrical Materials and Fittings","Fan","JH-2028","/images/catalog/web/fan.jpg"
"cat_e_fan-desktop_1","cat_e_fan-desktop_1.jpg","Electrical Materials and Fittings","Fan - Desktop","DP-7605","/images/catalog/web/fan-desktop.jpg"
"cat_e_fan-desktop_2","cat_e_fan-desktop_2.jpg","Electrical Materials and Fittings","Fan - Desktop","Standard","/images/catalog/web/fan-desktop.jpg"
"cat_e_fan-foldable_1","cat_e_fan-foldable_1.jpg","Electrical Materials and Fittings","Fan - Foldable","Standard","/images/catalog/web/fan-foldable.jpg"
"cat_e_fan-hand-fan_1","cat_e_fan-hand-fan_1.jpg","Electrical Materials and Fittings","Fan - Hand Fan","Diandi","/images/catalog/web/fan-hand-fan.jpg"
"cat_e_fan-hand-fan_2","cat_e_fan-hand-fan_2.jpg","Electrical Materials and Fittings","Fan - Hand Fan","DP-7635","/images/catalog/web/fan-hand-fan.jpg"
"cat_e_fan-hand-fan_3","cat_e_fan-hand-fan_3.jpg","Electrical Materials and Fittings","Fan - Hand Fan","Fan","/images/catalog/web/fan-hand-fan.jpg"
"cat_e_fan-table-fan_1","cat_e_fan-table-fan_1.jpg","Electrical Materials and Fittings","Fan - Table Fan","Double Head - NO.666","/images/catalog/web/fan-table-fan.jpg"
"cat_e_fan-table-fan_2","cat_e_fan-table-fan_2.jpg","Electrical Materials and Fittings","Fan - Table Fan","IW8038-A","/images/catalog/web/fan-table-fan.jpg"
"cat_e_fan-table-fan_3","cat_e_fan-table-fan_3.jpg","Electrical Materials and Fittings","Fan - Table Fan","Mini - CTL-MF026-6","/images/catalog/web/fan-table-fan.jpg"
"cat_e_gum_1","cat_e_gum_1.jpg","Electrical Materials and Fittings","Gum","4 Minutes - Steel - 2 in 1","/images/catalog/web/gum.jpg"
"cat_e_iron-electric_1","cat_e_iron-electric_1.jpg","Electrical Materials and Fittings","Iron - Electric","Emouliness","/images/catalog/web/iron-electric.jpg"
"cat_e_iron-electric_2","cat_e_iron-electric_2.jpg","Electrical Materials and Fittings","Iron - Electric","Qasa - QDL-300","/images/catalog/web/iron-electric.jpg"
"cat_e_iron-electric_3","cat_e_iron-electric_3.jpg","Electrical Materials and Fittings","Iron - Electric","Rashnik - RN-702","/images/catalog/web/iron-electric.jpg"
"cat_e_iron-electric_4","cat_e_iron-electric_4.jpg","Electrical Materials and Fittings","Iron - Electric","SMP - DI01","/images/catalog/web/iron-electric.jpg"
"cat_e_iron-electric_5","cat_e_iron-electric_5.jpg","Electrical Materials and Fittings","Iron - Electric","SMP - S105","/images/catalog/web/iron-electric.jpg"
"cat_e_knife-switch_1","cat_e_knife-switch_1.jpg","Electrical Materials and Fittings","Knife Switch","Change Over - 100 Amps","/images/catalog/web/knife-switch.jpg"
"cat_e_knife-switch_2","cat_e_knife-switch_2.jpg","Electrical Materials and Fittings","Knife Switch","Change Over - 32 Amps","/images/catalog/web/knife-switch.jpg"
"cat_e_lamp-led-bulb_1","cat_e_lamp-led-bulb_1.jpg","Electrical Materials and Fittings","Lamp - LED Bulb","DP - DP-7812C","/images/catalog/web/lamp-led-bulb.jpg"
